Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Ass	Kin	1	721.88	721.88	NA	NA	NA	99.8
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Fllw	Kin	2	NA	NA	NA	405.08	NA	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Agn	Towards other	4	NA	NA	NA	18.133	12.229	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Mov	Away from speaker	8	178.953	22.369	29.068	61.938	86.367	24.7
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Dhb		1	247.72	247.72	NA	NA	NA	34.2
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Hab		1	249.2	249.2	NA	NA	NA	34.5
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Look	At speaker	22	NA	NA	NA	31.69	43.411	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Look	Away from speaker	11	NA	NA	NA	58.52	66.739	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Voc	Contact	10	NA	NA	NA	35.871	66.077	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Voc	Other	1	NA	NA	NA	NA	NA	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	HSH		8	NA	NA	NA	32.903	45.807	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	FVO		0	NA	NA	NA	NA	NA	NA
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Eat	With kin	6	202.994	33.832	20.852	46.321	82.219	28.1
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Pre	With kin	11	319.75	29.068	41.941	39.057	46.527	44.2
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Rst		0	0.0	NA	NA	NA	NA	0.0
AT13	2023-12-1922:53:17.000	Hera_FC_13102022_1030.MP4	Hera	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	723.360	723.360	No focal subject	Vig	Mid neck	2	17.2	8.6	7.637	250.52	NA	2.4
