Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Ass	Kin	1	502.2	502.2	NA	NA	NA	67.3
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Agn	Towards other	2	NA	NA	NA	3.6	NA	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Mov	Away from speaker	7	140.68	20.097	19.419	91.2	164.755	18.8
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Mov	Towards speaker	1	35.959	35.959	NA	NA	NA	4.8
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Dhb		1	246.52	246.52	NA	NA	NA	33.0
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Hab		1	244.64	244.64	NA	NA	NA	32.8
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Look	At speaker	44	NA	NA	NA	17.235	25.935	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Look	Away from speaker	81	NA	NA	NA	9.161	16.846	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Voc	Contact	17	NA	NA	NA	13.38	16.632	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	HSH		2	NA	NA	NA	41.12	NA	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Htlt		6	NA	NA	NA	91.48	117.823	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	FVO	Other	5	NA	NA	NA	76.73	146.61	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	FVO	Distance	32	NA	NA	NA	20.232	29.013	NA
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Eat	With kin	9	299.031	33.226	19.489	14.156	19.772	40.1
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Eat	Alone	1	33.199	33.199	NA	NA	NA	4.4
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Pre	With kin	3	17.197	5.732	2.32	63.441	86.72	2.3
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Pre	Alone	2	35.359	17.68	19.006	7.881	NA	4.7
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Rst		0	0.0	NA	NA	NA	NA	0.0
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Vig	Mid neck	13	226.467	17.421	25.498	35.548	30.327	30.3
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Vig	Short Neck	4	65.717	16.429	20.334	179.974	251.131	8.8
MG91	2024-03-1319:55:19.000	Bernard_FRF_27102022_0927.MP4	Bernard	FRF		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	2m	0.000	746.400	746.400	No focal subject	Vig	Long neck	1	22.119	22.119	NA	NA	NA	3.0
