Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Ass	Kin	1	746.6	746.6	NA	NA	NA	100.0
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Mov	Towards speaker	1	4.32	4.32	NA	NA	NA	0.6
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Dhb		1	242.72	242.72	NA	NA	NA	32.5
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Hab		1	259.12	259.12	NA	NA	NA	34.7
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Look	At speaker	38	NA	NA	NA	19.733	24.755	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Look	Away from speaker	74	NA	NA	NA	9.947	19.37	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Voc	Contact	3	NA	NA	NA	78.92	26.587	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	HSH		7	NA	NA	NA	62.513	48.591	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	FVO	Distance	5	NA	NA	NA	77.06	119.268	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	FVO	Other	3	NA	NA	NA	247.14	337.516	NA
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Eat	With kin	12	334.708	27.892	28.745	34.339	63.23	44.8
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Pre	With kin	3	33.878	11.293	7.283	51.461	45.058	4.5
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Rst	With kin	4	116.397	29.099	29.379	63.908	47.349	15.6
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Vig	Short Neck	17	156.983	9.234	6.854	36.226	30.305	21.0
PQ37	2024-04-1023:15:22.000	Jumper_FC_13102022_0941.MP4	Jumper	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m	0.760	747.360	746.600	No focal subject	Vig	Mid neck	3	91.838	30.613	16.25	281.221	65.478	12.3
