Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Ass	Kin	2	656.32	328.16	156.525	NA	NA	90.4
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Agn	Towards other	2	NA	NA	NA	0.0	NA	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Mov	Away from speaker	4	90.157	22.539	30.061	NA	NA	12.4
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Mov	Towards speaker	1	10.92	10.92	NA	NA	NA	1.5
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Dhb		1	248.56	248.56	NA	NA	NA	34.2
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Hab		1	248.16	248.16	NA	NA	NA	34.2
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Look	At speaker	121	NA	NA	NA	0.0	0.0	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Look	Away from speaker	76	NA	NA	NA	0.0	0.0	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Voc	Contact	5	NA	NA	NA	0.0	0.0	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	HSH		3	NA	NA	NA	0.0	0.0	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Htlt		20	NA	NA	NA	0.0	0.0	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	FVO	Distance	17	NA	NA	NA	0.0	0.0	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	FVO	Other	2	NA	NA	NA	0.0	NA	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Eat	With kin	13	171.068	13.159	6.896	NA	NA	23.6
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Eat	Alone	7	55.313	7.902	6.231	NA	NA	7.6
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Pre		0	NA	NA	NA	NA	NA	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Vig	Mid neck	18	139.702	7.761	7.352	NA	NA	19.2
NH87	2024-03-1721:59:43		Lausbursch	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	0.000	725.760	725.760	No focal subject	Vig	Short Neck	1	359.639	359.639	NA	NA	NA	49.6
