Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Ass	Kin	1	761.76	761.76	NA	NA	NA	100.0
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Mov		0	NA	NA	NA	NA	NA	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Dhb		1	245.72	245.72	NA	NA	NA	32.3
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Hab		1	253.68	253.68	NA	NA	NA	33.3
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Look	Away from speaker	21	NA	NA	NA	0.0	0.0	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Look	At speaker	17	NA	NA	NA	0.0	0.0	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Voc	Contact	3	NA	NA	NA	0.0	0.0	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Htlt		4	NA	NA	NA	0.0	0.0	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	FVO	Distance	15	NA	NA	NA	0.0	0.0	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	FVO	Other	9	NA	NA	NA	0.0	0.0	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	FVO	Recruitment	1	NA	NA	NA	NA	NA	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Pre	With kin	9	117.792	13.088	12.65	NA	NA	15.5
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Rst	With kin	2	561.438	280.719	18.159	NA	NA	73.7
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Vig	Short Neck	7	49.473	7.068	7.613	NA	NA	6.5
QN56	2024-04-1219:07:31		Ornella	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	761.760	761.760	No focal subject	Vig	Mid neck	3	33.037	11.012	9.632	NA	NA	4.3
