Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Ass	Kin	1	544.6	544.6	NA	NA	NA	75.5
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Fllw	Kin	1	NA	NA	NA	NA	NA	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Mov	Away from speaker	2	90.2	45.1	39.513	NA	NA	12.5
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Dhb		1	245.12	245.12	NA	NA	NA	34.0
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Hab		1	244.96	244.96	NA	NA	NA	34.0
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Look	At speaker	34	NA	NA	NA	0.0	0.0	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Look	Away from speaker	42	NA	NA	NA	0.0	0.0	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Voc	Contact	8	NA	NA	NA	0.0	0.0	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Voc	Other	3	NA	NA	NA	0.0	0.0	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	HSH		13	NA	NA	NA	0.0	0.0	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Htlt		3	NA	NA	NA	0.0	0.0	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	FVO	Other	8	NA	NA	NA	0.0	0.0	NA
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Eat	Alone	4	28.956	7.239	2.776	NA	NA	4.0
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Eat	With kin	1	25.759	25.759	NA	NA	NA	3.6
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Pre	With kin	2	106.279	53.139	31.706	NA	NA	14.7
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Rst	With kin	1	238.8	238.8	NA	NA	NA	33.1
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Vig	Mid neck	11	198.511	18.046	24.877	NA	NA	27.5
DZ53	2024-01-2120:44:17		Lotta	FRF		2022-09-11T10:00:00	 outermost periphery	Overcast	KLF	 recruitment	 2m	0.000	720.960	720.960	No focal subject	Vig	Long neck	2	26.319	13.16	13.632	NA	NA	3.7
