Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Ass	Interaction	Kin	START	1.000	H:/Individual recognition vids/Blind videos/GZ48.MP4	25	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	START	1.000	H:/Individual recognition vids/Blind videos/GZ48.MP4	25	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	16.240	H:/Individual recognition vids/Blind videos/GZ48.MP4	406	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	27.080	H:/Individual recognition vids/Blind videos/GZ48.MP4	677	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	63.800	H:/Individual recognition vids/Blind videos/GZ48.MP4	1595	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Hab	Playback phase		START	141.200	H:/Individual recognition vids/Blind videos/GZ48.MP4	3530	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Hab	Playback phase		STOP	394.040	H:/Individual recognition vids/Blind videos/GZ48.MP4	9851	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Dhb	Playback phase		START	441.600	H:/Individual recognition vids/Blind videos/GZ48.MP4	11040	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	446.640	H:/Individual recognition vids/Blind videos/GZ48.MP4	11166	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	513.240	H:/Individual recognition vids/Blind videos/GZ48.MP4	12831	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	STOP	551.359	H:/Individual recognition vids/Blind videos/GZ48.MP4	NA	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Mid neck	START	551.360	H:/Individual recognition vids/Blind videos/GZ48.MP4	13784	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	551.960	H:/Individual recognition vids/Blind videos/GZ48.MP4	13799	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Agn	Interaction	Towards other	POINT	552.960	H:/Individual recognition vids/Blind videos/GZ48.MP4	13824	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	555.880	H:/Individual recognition vids/Blind videos/GZ48.MP4	13897	NA	
GZ48	2024-02-23 23:26:57.000	Jumper_FRP_15112022_1049.MP4	745.880	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GZ48.MP4	0.0	746.880	25.000	Jumper	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	563.760	H:/Individual recognition vids/Blind videos/GZ48.MP4	14094	NA	
