Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Ass	Kin	1	705.6	705.6	NA	NA	NA	100.0
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Mov	Away from speaker	3	66.959	22.32	19.733	NA	NA	9.5
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Dhb		1	247.08	247.08	NA	NA	NA	35.0
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Hab		1	246.84	246.84	NA	NA	NA	35.0
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Look	At speaker	28	NA	NA	NA	0.0	0.0	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Look	Away from speaker	32	NA	NA	NA	0.0	0.0	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Voc	Contact	7	NA	NA	NA	0.0	0.0	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	HSH		1	NA	NA	NA	NA	NA	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Htlt		6	NA	NA	NA	0.0	0.0	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	FVO	Distance	13	NA	NA	NA	0.0	0.0	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	FVO	Other	5	NA	NA	NA	0.0	0.0	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Eat		0	NA	NA	NA	NA	NA	NA
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Pre	With kin	3	27.077	9.026	5.429	NA	NA	3.8
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Rst	With kin	2	522.879	261.44	334.264	NA	NA	74.1
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Vig	Mid neck	3	81.597	27.199	20.297	NA	NA	11.6
XX97	2024-07-0813:29:50		Bernard	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	705.600	705.600	No focal subject	Vig	Short Neck	2	72.198	36.099	47.433	NA	NA	10.2
