Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Ass	Kin	1	819.84	819.84	NA	NA	NA	100.0
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Fllw	Kin	3	NA	NA	NA	0.0	0.0	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Agn	Towards other	10	NA	NA	NA	0.0	0.0	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Mov	Away from speaker	8	114.559	14.32	11.362	NA	NA	14.0
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Mov	Towards speaker	1	13.36	13.36	NA	NA	NA	1.6
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Dhb		1	248.92	248.92	NA	NA	NA	30.4
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Hab		1	277.96	277.96	NA	NA	NA	33.9
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Look	At speaker	36	NA	NA	NA	0.0	0.0	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Look	Away from speaker	95	NA	NA	NA	0.0	0.0	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Voc	Contact	8	NA	NA	NA	0.0	0.0	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	HSH		9	NA	NA	NA	0.0	0.0	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Htlt		4	NA	NA	NA	0.0	0.0	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	FVO	Other	13	NA	NA	NA	0.0	0.0	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	FVO	Distance	3	NA	NA	NA	0.0	0.0	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Eat	With kin	11	368.63	33.512	53.086	NA	NA	45.0
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Pre	With kin	9	145.071	16.119	13.595	NA	NA	17.7
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Rst		0	NA	NA	NA	NA	NA	NA
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Vig	Mid neck	13	209.547	16.119	21.859	NA	NA	25.6
PX73	2024-04-1200:47:23		Ballantine	FRP		2022-09-11T10:00:00	Outermost periphery	Overcast	KLF	Departure	1m	0.000	819.840	819.840	No focal subject	Vig	Short Neck	6	93.754	15.626	12.55	NA	NA	11.4
