Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...27
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Ass	Interaction	Kin	START	0	G:/Individual recognition vids/Blind videos/NV45.MP4	0	NA	NA
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Fllw	Interaction	Kin	POINT	0	G:/Individual recognition vids/Blind videos/NV45.MP4	0	NA	NA
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Mov	Locomotion	Away from speaker	START	0.52	G:/Individual recognition vids/Blind videos/NV45.MP4	13	NA	NA
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Mov	Locomotion	Away from speaker	STOP	5.679	G:/Individual recognition vids/Blind videos/NV45.MP4	NA	NA	NA
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	With kin	START	5.68	G:/Individual recognition vids/Blind videos/NV45.MP4	143	NA	NA
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	11.28	G:/Individual recognition vids/Blind videos/NV45.MP4	282	NA	NA
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	17.84	G:/Individual recognition vids/Blind videos/NV45.MP4	446	NA	NA
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	With kin	STOP	26.199	G:/Individual recognition vids/Blind videos/NV45.MP4	NA	NA	NA
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	26.2	G:/Individual recognition vids/Blind videos/NV45.MP4	655	NA	NA
Jurek_FRF_21112022_0946	2024-03-18T21:45:56Z	Triple/ Edit	1063.68	Media file(s)	player #1:G:/Individual recognition vids/Blind videos/NV45.MP4	1063.68	25	Jurek	FRFP	NA	2022-09-11T10:00:00Z	Outer periphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	START	26.2	G:/Individual recognition vids/Blind videos/NV45.MP4	655	NA	NA
