Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Ass	Kin	1	360.2	360.2	NA	NA	NA	48.8
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Mov	Away from speaker	7	215.078	30.725	33.888	87.287	125.442	29.1
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Dhb		1	244.48	244.48	NA	NA	NA	33.1
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Hab		1	243.28	243.28	NA	NA	NA	32.9
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Look	Away from speaker	78	NA	NA	NA	9.583	11.9	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Look	At speaker	58	NA	NA	NA	12.579	12.614	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Voc	Recruitment	12	NA	NA	NA	16.975	22.779	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Voc	Contact	30	NA	NA	NA	16.299	25.524	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	HSH		8	NA	NA	NA	17.651	15.594	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Htlt		6	NA	NA	NA	113.576	74.313	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	FVO	Other	2	NA	NA	NA	5.08	NA	NA
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Eat	Alone	9	90.311	10.035	5.088	16.931	23.463	12.2
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Pre	With kin	2	25.318	12.659	1.838	264.921	NA	3.4
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Rst	With kin	1	205.439	205.439	NA	NA	NA	27.8
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Vig	Long neck	3	41.278	13.759	13.334	348.161	379.858	5.6
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Vig	Mid neck	12	243.829	20.319	21.255	41.303	84.39	33.0
FS52	2024-01-2821:58:28.000	Olga_FRP_26102022_1115.MP4	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m	1.800	740.600	738.800	No focal subject	Vig	Short Neck	3	44.999	15.0	7.414	69.46	84.429	6.1
