Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Ass	Kin	1	694.56	694.56	NA	NA	NA	100.0
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Agn	Towards other	1	NA	NA	NA	NA	NA	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Dhb		1	246.0	246.0	NA	NA	NA	35.4
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Hab		1	251.12	251.12	NA	NA	NA	36.2
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Look	At speaker	25	NA	NA	NA	28.525	78.074	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Look	Away from speaker	6	NA	NA	NA	131.432	167.649	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Voc	Distance	2	NA	NA	NA	1.12	NA	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Voc	Recruitment	1	NA	NA	NA	NA	NA	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	HSH		3	NA	NA	NA	323.32	154.828	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Htlt		3	NA	NA	NA	146.06	182.066	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	FVO	Distance	31	NA	NA	NA	22.136	34.457	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	FVO	Other	14	NA	NA	NA	23.708	43.307	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	FVO	Recruitment	10	NA	NA	NA	10.911	17.36	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	FVO	Departure	5	NA	NA	NA	48.75	84.855	NA
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Pre	With kin	2	6.118	3.059	2.065	300.441	NA	0.9
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Rst	With kin	5	566.116	113.223	119.313	10.411	10.821	81.5
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Vig	Mid neck	4	47.476	11.869	11.329	210.881	178.812	6.8
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Vig	Short Neck	4	67.956	16.989	23.855	194.948	157.977	9.8
SL59	2024-06-1705:38:05.000	Bayou_FC_09112022_1042.MP4	Bayou	FC		2022-09-11T10:00:00	Inner eriphery	Sunny	KLF	Recruitment	2m	0.000	694.560	694.560	No focal subject	Vig	Long neck	1	6.879	6.879	NA	NA	NA	1.0
