Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Ass	Kin	1	718.08	718.08	NA	NA	NA	100.0
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Fllw	Kin	8	NA	NA	NA	76.303	62.111	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Agn	Towards other	4	NA	NA	NA	174.88	143.745	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Mov	Away from speaker	7	128.958	18.423	19.98	75.107	67.228	18.0
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Mov	Towards speaker	2	14.039	7.019	2.63	119.08	NA	2.0
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Dhb		1	243.2	243.2	NA	NA	NA	33.9
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Hab		1	246.88	246.88	NA	NA	NA	34.4
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Look	At speaker	54	NA	NA	NA	12.608	28.381	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Look	Away from speaker	92	NA	NA	NA	7.16	7.121	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Voc	Contact	20	NA	NA	NA	32.463	27.768	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	HSH		9	NA	NA	NA	48.22	98.219	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	FVO	Distance	19	NA	NA	NA	30.949	63.0	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	FVO	Other	7	NA	NA	NA	98.553	126.848	NA
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Eat	With kin	8	202.833	25.354	41.746	30.241	61.159	28.2
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Pre	With kin	6	34.794	5.799	3.173	64.521	123.273	4.8
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Rst		0	0.0	NA	NA	NA	NA	0.0
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Vig	Mid neck	16	455.863	28.491	34.231	17.481	31.008	63.5
ZN92	2024-07-1513:20:10.000	Karolina_FC_15102022_1627.MP4	Karolina	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Departure	2m	0.000	718.080	718.080	No focal subject	Vig	Long neck	2	24.558	12.279	10.805	379.561	NA	3.4
