Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Ass	Kin	1	793.92	793.92	NA	NA	NA	100.0
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Agn	Towards other	2	NA	NA	NA	545.64	NA	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Dhb		1	245.24	245.24	NA	NA	NA	30.9
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Hab		1	246.84	246.84	NA	NA	NA	31.1
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Look	At speaker	17	NA	NA	NA	19.865	32.203	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Look	Away from speaker	42	NA	NA	NA	16.465	54.453	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Voc	Contact	6	NA	NA	NA	69.12	102.89	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	HSH		2	NA	NA	NA	237.44	NA	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Htlt		6	NA	NA	NA	114.648	92.351	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	FVO	Distance	52	NA	NA	NA	13.341	24.594	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	FVO	Other	24	NA	NA	NA	19.32	45.767	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	FVO	Recruitment	5	NA	NA	NA	94.05	153.799	NA
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Pre		0	0.0	NA	NA	NA	NA	0.0
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Rst	With kin	3	547.118	182.373	216.372	35.141	30.406	68.9
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Vig	Short Neck	4	219.756	54.939	53.982	157.081	234.02	27.7
QW34	2024-04-1219:08:46.000	Lindy Hop_ FRF_22112022_0959.MP4	Lindy Hop	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	2m	0.000	793.920	793.920	No focal subject	Vig	Mid neck	1	9.92	9.92	NA	NA	NA	1.2
