Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Ass	Kin	1	699.36	699.36	NA	NA	NA	100.0
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Fllw	Kin	3	NA	NA	NA	322.54	400.76	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Agn	Towards other	5	NA	NA	NA	36.84	39.169	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Mov	Away from speaker	11	118.236	10.749	13.797	58.06	136.464	16.9
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Dhb		1	246.28	246.28	NA	NA	NA	35.2
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Hab		1	250.2	250.2	NA	NA	NA	35.8
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Look	Away from speaker	83	NA	NA	NA	8.354	8.707	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Look	At speaker	68	NA	NA	NA	9.719	12.92	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Voc	Contact	6	NA	NA	NA	123.392	184.279	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Voc	Other	2	NA	NA	NA	13.4	NA	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	HSH		4	NA	NA	NA	148.56	226.581	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Htlt		10	NA	NA	NA	48.187	38.095	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	FVO	Distance	22	NA	NA	NA	29.343	43.33	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	FVO	Other	12	NA	NA	NA	14.6	33.445	NA
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Eat	With kin	6	57.075	9.513	5.137	36.233	45.421	8.2
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Pre	With kin	1	2.879	2.879	NA	NA	NA	0.4
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Rst	With kin	9	250.271	27.808	24.59	16.721	16.833	35.8
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Vig	Mid neck	11	192.751	17.523	8.09	48.141	50.866	27.6
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Vig	Long neck	3	114.278	38.093	25.733	193.081	210.719	16.3
JI67	2024-03-0118:27:39.000	Janosch_FC_17112022_1015.MP4	Janosch	FC		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m	0.000	699.360	699.360	No focal subject	Vig	Short Neck	6	57.594	9.599	7.888	32.185	39.372	8.2
