Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Ass	Kin	1	705.12	705.12	NA	NA	NA	100.0
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Dhb		1	247.64	247.64	NA	NA	NA	35.1
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Hab		1	252.64	252.64	NA	NA	NA	35.8
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Look	At speaker	50	NA	NA	NA	14.357	36.721	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Look	Away from speaker	4	NA	NA	NA	20.88	23.311	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Voc	Contact	2	NA	NA	NA	95.12	NA	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Voc	Other	4	NA	NA	NA	1.533	0.577	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	HSH		0	NA	NA	NA	NA	NA	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Htlt		1	NA	NA	NA	NA	NA	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	FVO	Distance	65	NA	NA	NA	10.873	16.193	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	FVO	Other	19	NA	NA	NA	38.06	61.505	NA
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Pre	With kin	5	51.355	10.271	9.97	7.711	4.481	7.3
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Rst	With kin	3	364.157	121.386	101.888	81.461	80.299	51.6
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Vig	Mid neck	8	240.593	30.074	55.272	66.361	83.154	34.1
ZN21	2024-07-1301:27:03.000	Rosenrot_FRF_31102022_0931.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m	0.000	705.120	705.120	No focal subject	Vig	Short Neck	1	48.999	48.999	NA	NA	NA	6.9
