Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Ass	Kin	1	742.08	742.08	NA	NA	NA	100.0
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Fllw		0	NA	NA	NA	NA	NA	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Mov		0	0.0	NA	NA	NA	NA	0.0
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Dhb		1	243.84	243.84	NA	NA	NA	32.9
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Hab		1	243.92	243.92	NA	NA	NA	32.9
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Look	At speaker	66	NA	NA	NA	10.973	36.312	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Look	Away from speaker	11	NA	NA	NA	62.712	101.45	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Voc	Contact	14	NA	NA	NA	43.326	51.087	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Voc	Recruitment	23	NA	NA	NA	6.255	6.224	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	HSH		4	NA	NA	NA	27.453	39.307	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Htlt		9	NA	NA	NA	79.21	131.326	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	FVO	Recruitment	66	NA	NA	NA	11.023	13.349	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	FVO	Other	12	NA	NA	NA	58.018	64.947	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	FVO	Distance	15	NA	NA	NA	46.177	67.447	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	FVO	Departure	28	NA	NA	NA	21.385	54.984	NA
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Eat		0	0.0	NA	NA	NA	NA	0.0
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Pre	With kin	11	91.469	8.315	7.996	58.273	155.192	12.3
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Rst	With kin	4	433.236	108.309	114.207	52.508	18.66	58.4
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Vig	Short Neck	7	108.114	15.445	10.353	77.861	120.144	14.6
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Vig	Mid neck	6	39.074	6.512	9.113	13.417	10.249	5.3
NI66	2024-03-1821:44:51.000	Pudding_FC_31102022_1020.MP4	Pudding	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m	0.000	742.080	742.080	No focal subject	Vig	Long neck	2	30.919	15.46	11.965	14.921	NA	4.2
