Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Ass	Kin	3	627.0	209.0	172.723	46.26	2.8	87.1
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Fllw	Kin	2	NA	NA	NA	324.52	NA	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Agn		0	NA	NA	NA	NA	NA	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Mov	Towards speaker	5	33.516	6.703	3.067	118.281	131.976	4.7
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Mov	Away from speaker	10	142.395	14.24	14.35	41.196	44.986	19.8
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Dhb		1	244.96	244.96	NA	NA	NA	34.0
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Hab		1	251.52	251.52	NA	NA	NA	35.0
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Look	At speaker	57	NA	NA	NA	12.486	26.217	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Look	Away from speaker	84	NA	NA	NA	8.298	11.651	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Voc	Contact	9	NA	NA	NA	82.54	138.832	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Voc	Recruitment	17	NA	NA	NA	4.518	2.956	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	HSH		7	NA	NA	NA	115.507	107.886	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Htlt		0	NA	NA	NA	NA	NA	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	FVO	Other	5	NA	NA	NA	149.09	159.064	NA
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Eat	With kin	3	267.037	89.012	49.386	34.821	43.077	37.1
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Eat	Alone	1	11.759	11.759	NA	NA	NA	1.6
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Pre	With kin	3	143.077	47.692	56.365	28.841	4.639	19.9
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Rst		0	0.0	NA	NA	NA	NA	0.0
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Vig	Mid neck	2	104.119	52.059	37.477	96.961	NA	14.5
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Vig	Short Neck	2	97.398	48.699	23.448	157.401	NA	13.5
FL96	2024-01-2420:03:38.000	Rosenrot_FRF_20112022_0930.MP4	Rosenrot	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m	0.000	719.520	719.520	No focal subject	Vig	Long neck	2	25.759	12.879	11.37	18.921	NA	3.6
