Observation id	Observation date	Description	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Ass	Kin	1	1063.68	1063.68	NA	NA	NA	100.0
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Fllw	Kin	2	NA	NA	NA	0.0	NA	NA
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Agn	Towards other	2	NA	NA	NA	0.0	NA	NA
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Mov	Away from speaker	22	425.354	19.334	19.256	NA	NA	40.0
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Mov	Towards speaker	1	11.759	11.759	NA	NA	NA	1.1
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Dep		0	NA	NA	NA	NA	NA	NA
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Dhb		1	245.96	245.96	NA	NA	NA	23.1
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Hab		2	489.84	244.92	0.849	NA	NA	46.1
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Look	Away from speaker	289	NA	NA	NA	0.0	0.0	NA
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Look	At speaker	104	NA	NA	NA	0.0	0.0	NA
NV45	2024-03-1821:45:56	Triple/ Edit	Jurek	FRFP		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Recruitment	2m	0.000	1063.680	1063.680	No focal subject	Voc	Contact	12	NA	NA	NA	0.0	0.0	NA
